PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
function (math),function; function (mathematics); formula,aft,result,"A function is a process or a relation that associates each element x of a set X, the domain of the function, to a single element y of another set Y (possibly the same set), the codomain of the function. [Wikipedia]",,https://en.wikipedia.org/wiki/Function_(mathematics),,mathematical object,http://purl.allotrope.org/ontologies/result#AFR_0001257
function scale mapping,,datacube-hdf-mapping,datacube-hdf-map,A function scale mapping is a scale mapping which is realized by a function such as a linear function. [Allotrope],,,,scale mapping,http://purl.allotrope.org/ontologies/datacube-hdf-map#FunctionScaleMapping
function specification,,aft,result,A specification that specifies a participant in a process by the function it bears in it. [Allotrope],,,,participant specification,http://purl.allotrope.org/ontologies/result#AFR_0000944
fused core,,aft,quality,A porosity quality inhering in a bearer by virtue of the bearer's being only capable of admitting the passage of gas or liquid through pores or interstices in outer layer of the solid and not its solid impermeable core. [Allotrope],,,,porosity,http://purl.allotrope.org/ontologies/quality#AFQ_0000245
gain,,aft,quality,Signal gain is the ratio of magnitude of a quality between a flow of energy incoming to a system (input signal) and the outgoing flow of energy (output signal) used for signaling. [Allotrope],,,detector gain,ratio,http://purl.allotrope.org/ontologies/quality#AFQ_0000297
gain unit,,qudt-ext,"",A measure of the ability to increase power or amplitude of a signal.,,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#GainUnit
gamma radiation,gamma ray; γ-ray,aft,material,Electromagnetic radiation of a kind arising from the radioactive decay of atomic nuclei and having wavelengths less than 10 picometers. [Allotrope],,https://en.wikipedia.org/wiki/Gamma_ray,,electromagnetic energy,http://purl.allotrope.org/ontologies/material#AFM_0001058
gamma-ray spectrum,gamma ray spectrum; γ-ray spectrum; gamma-ray spectra; gamma ray spectra; γ-ray spectra,aft,result,A plot of gamma-ray count vs. energy spectrum obtained by measuring the number and energy of gamma-rays emitted or absorbed by a sample. [CHMO],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000110
gap length,,afo,result,A gap length is a length that quantifies the length of some gap between two surfaces. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003063
gas,,afo,material,A gas is an airlike material that expands freely to fill any space available. It can be transported in compressed gas cylinders and acts as a gas upon release at normal temperatures and pressure. [Allotrope],,,,,http://purl.allotrope.org/ontologies/material#AFM_0000154
gas,gaseous state of matter; gaseous,aft,quality,"A state of matter that is a compressible fluid. Not only will a gas conform to the shape of its container but it will also expand to fill the container. In a gas, the molecules have enough kinetic energy so that the effect of intermolecular forces is small (or zero for an ideal gas), and the typical distance between neighboring molecules is much greater than the molecular size. A gas has no definite shape or volume, but occupies the entire container in which it is confined. [Wikipedia]",,,,state of matter,http://purl.allotrope.org/ontologies/quality#AFQ_0000114
gas chromatogram,GC chromatogram,chromatography,result,A plot of detector signal (e.g. ion count or  absorbance) vs. retention time obtained from a column chromatography experiment where the mobile phase is a gas. [CHMO],,,,,http://purl.allotrope.org/ontologies/result#AFR_0000132
gas chromatograph,gas chromatography device; GC device,aft,equipment,"A piece of apparatus, consisting of a gas supply system, an injection or sampling system, a column, detector and a data acquisition/processing system, that is used to carry out chromatographic separations. [CHMO]",,,,chromatograph,http://purl.allotrope.org/ontologies/equipment#AFE_0000024
gas chromatograph inlet,GC inlet; column inlet; GC injector; column injector; gas chromatograph injector,gc,equipment,An inlet into a gas chromatograph. [Allotrope],,"K. Grob, Split and Splitless Injection for Quantitative Gas Chromatography: Concepts, Processes, Practical Guidelines, Sources of Error, 4th, Completely Revised Edition (Wiley, Hoboken, New Jersey, 2001).",,,http://purl.allotrope.org/ontologies/equipment#AFE_0000161
gas chromatography,GC run; GC; gas chromatography run,aft,process,Column chromatography where the mobile phase is a gas. [CHMO],,,An instance of gas chromatography can be a single-injection GC run.,chromatography,http://purl.allotrope.org/ontologies/process#AFP_0000310
gas chromatography aggregate document,,gc,result,A gas chromatography aggregate document is a document that aggregates gas chromatography documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002605
gas chromatography detector,GC detector,gc,equipment,A gas chromatography detector is a detector that is used in gas chromatography as component of a GC system. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002188
gas chromatography document,,gc,result,A gas chromatography document is a document that encompasses the information associated with a gas chromatography run. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002606
gas chromatography injection,GC injection; GC sample introduction; gas chromatography sample introduction,gc,process,Gas chromatography injection is the process of loading a sample into a gas chromatography system. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003683
gas in liquid solution,solution,portion-of-material,material,A gas in liquid solution is a solution where the continuous phase is a liquid and the dispersed phase is a gas. [Allotrope],,,carbon dioxide in water,solution,http://purl.allotrope.org/ontologies/material#AFM_0001067
gas in solid solution,,portion-of-material,material,A gas in solid solution is a solution where the continuous phase is a solid and the dispersed phase is a gas. [Allotrope],,,hydrogen in paladium metal,solution,http://purl.allotrope.org/ontologies/material#AFM_0001066
gas mixture,,portion-of-material,material,A gas mixture is a solution where the continuous phase is a gas and the dispersed phase is a gas. [Allotrope],,,air,solution,http://purl.allotrope.org/ontologies/material#AFM_0001065
gas-phase electrophoretic mobility molecular analysis spectrum,GEMMA spectrum; GEMMA spectra,aft,result,A plot of electrophoretic mobility diameter vs. particle count generated by separating singly-charged complexes in air under the influence of an electric field. [CHMO],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000300
gaseous mobile phase,gaseous mobile phase role,chromatography,role,Gaseous mobile phase is the mobile phase role of a gaseous material. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000164
gel,,portion-of-material,material,A gel is a colloid where the continuous phase is a solid and the dispersed phase is a liquid. [Allotrope],,"PAC, 2007, 79, 1801 (Definitions of terms relating to the structure and processing of sols, gels, networks, and inorganic-organic hybrid materials (IUPAC Recommendations 2007)) on page 1806",,dispersion colloid,http://purl.allotrope.org/ontologies/material#AFM_0001033
gel (quality),gel; gel state of matter,aft,quality,"A gel is a solid state of matter of jelly-like material that can have properties ranging from soft and weak to hard and tough. Gels are defined as a substantially dilute cross-linked system, which exhibits no flow when in the steady-state. By weight, gels are mostly liquid, yet they behave like solids due to a three-dimensional cross-linked network within the liquid. [Wikipedia]",,,,solid,http://purl.allotrope.org/ontologies/quality#AFQ_0000120
gel filtration chromatogram,GPC profile; GPC traces; GPC trace; GPC elugram; gel permeation chromatographic traces; GPC profiles; gel permeation chromatogram,chromatography,result,A plot of detector signal (e.g. ion count or  absorbance) vs. retention time obtained from a chromatography experiment where the separation is caused by differences in molecular size. [CHMO],,,,,http://purl.allotrope.org/ontologies/result#AFR_0000507
gel filtration chromatograph,gel permeation chromatograph; GPC,chromatography,equipment,"A piece of apparatus, consisting of an eluent supply system, an injection or sampling system, a column containing a swollen gel, a detector and a data acquisition/processing system, that is used to carry out chromatographic separations. [CHMO]",,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0000431
gel time,,afo,result,A gel time is the time at which a material's state of matter transitions into a gel. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002636
gel transition,gel forming; becoming a gel,aft,process,A gel transition is a state of matter state where some material transitions into a gel. [Allotrope],,,,state of matter state,http://purl.allotrope.org/ontologies/process#AFP_0003828
gender,,organization,result,The gender facet relates a human to a string representing its gender. [Allotrope],,,,facet,http://purl.allotrope.org/ontologies/result#AFR_0001486
general agent role,agent role; agent,afo,role,"Agentive role is a general role of a material entity or software that  influences the behavior of a process in an active way. If a material entity it is an agent role, if its is a software that is executed by a computer system, it is a software agent role. [Allotrope]",,,,general role,http://purl.allotrope.org/ontologies/role#AFRL_0000448
general role,abstract role,afo,role,A general role is either a role that is realized in a process or a contextual role in that process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000091
generation record dataset,,audit,audit,A generation record dataset is an audit record dataset that contains the metadata and data that is needed to record the generation of an electronic record in an activity. [Allotrope],,,,audit record dataset,http://purl.allotrope.org/ontologies/audit#GenerationRecordDataset
generically dependent continuant,,bfo-2-0,"",b is a generically dependent continuant if b is a continuant that generically depends on one or more other entities. [BFO],,,"the sequence of this protein molecule; the sequence that is a copy thereof in that protein molecule.; The entries in your database are patterns instantiated as quality instances in your hard drive. The database itself is an aggregate of such patterns. When you create the database you create a particular instance of the generically dependent continuant type database. Each entry in the database is an instance of the generically dependent continuant type IAO: information content entity.; the pdf file on your laptop, the pdf file that is a copy thereof on my laptop",continuant,http://purl.obolibrary.org/obo/BFO_0000031
genotyping qPCR experiment,genotyping; genotyping experiment,qpcr,process,A genotyping qPCR experiment is an experiment using qPCR that identifies known mutations in a DNA Sample. DNA primers are used to target and identify specific alleles in a sample. [Allotrope],,,,qPCR experiment,http://purl.allotrope.org/ontologies/process#AFP_0003779
genotyping qPCR method identifier,,qpcr,result,A genotyping qPCR method identifier is an identifier that identifies the method used for some genotyping qPCR experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002908
genotyping qPCR method setting,,qpcr,result,A genotyping qPCR method setting is a control setting that specifies the threshold of some genotyping qPCR experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002909
genotyping qPCR result,genotyping qualitative PCR result; genotyping qualitative polymerase chain reaction result; genotyping qPCR assay result,qpcr,result,A genotyping qPCR result is an assay result that is output of a genotyping qPCR experiment. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002910
geolocation,global positioning,organization,result,A facet denoting a geographic position. [Allotrope],,,,location facet,http://purl.allotrope.org/ontologies/result#AFR_0001488
geometric mean role,geometric mean; average role; mean role; average; mean,aft,role,The geometric mean is a statistical datum role of a datum that is the nth root of the product of a collection of n numbers. [Allotrope],,,,statistic datum role,http://purl.allotrope.org/ontologies/role#AFRL_0000584
given name,first name; Christian name; forename,organization,result,A given name is a name that is a part of a person's personal name. [Wikipedia],,https://en.wikipedia.org/wiki/Given_name,,person facet,http://purl.allotrope.org/ontologies/result#AFR_0001062
glass transition peak,,differential-scanning-calorimetry,result,A glass transition peak is a peak of the differential scanning calorimetry curve that results from the glass transition of a sample. [Allotrope],,,,transition peak,http://purl.allotrope.org/ontologies/result#AFR_0000761
glass transition temperature,,differential-scanning-calorimetry,result,"A glass transition temperature (datum) is a quantity facet that quantifies the temperature at which a glass transition occurs. The glass transition, is the gradual and reversible transition in amorphous materials (or in amorphous regions within semicrystalline materials) from a hard and relatively brittle ""glassy"" state into a viscous or rubbery state as the temperature is increased. [Wikipedia]",,https://en.wikipedia.org/wiki/Glass_transition,,,http://purl.allotrope.org/ontologies/result#AFR_0001988
globally unique identifier,,aft,result,A globally unique identifier is an identifier whose uniqueness is guaranteed in a decentralized way by following a certain algorithm in its creation. [Allotrope],,,a UUID,identifier,http://purl.allotrope.org/ontologies/result#AFR_0000918
gloss,,gloss,result,A gloss is a quality quantification facet that quantifies the gloss of a surface. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002717
gloss (quality),specular reflection,aft,quality,Gloss is an optical property which indicates how well a surface reflects light in a specular (mirror-like) direction. [Wikipedia],,https://en.wikipedia.org/wiki/Gloss_(optics),,optical quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000349
gloss aggregate document,,gloss,result,A gloss aggregate document is a document that aggregates gloss documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002851
gloss change,,gloss,result,A gloss change is an assay result that quantifies the difference in gloss of a material before and after abrasion. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002721
gloss change aggregate document,,gloss,result,A gloss change aggregate document is a document that aggregates gloss change documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002719
gloss change document,,gloss,result,A gloss change document is a document that encompasses the information associated with a gloss change. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002720
gloss document,,gloss,result,A gloss document is a document that encompasses the information associated with some gloss run. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002852
glucose analysis document (cell-culture),,cell-culture,result,A glucose analysis document (cell-culture) is a document that encompasses the information associated with glucose. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002087
glutamate analysis document (cell-culture),,cell-culture,result,A glutamate analysis document (cell-culture) is a document that encompasses the information associated with glutamate. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002085
glutamine analysis document (cell-culture),,cell-culture,result,A glutamine analysis document (cell-culture) is a document that encompasses the information associated with glutamine. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002086
gradient profile setting (chromatography),gradient profile setting,chromatography,result,A gradient profile setting is a control profile setting that specifies the profile of the ratio of solvents in the mobile phase used over the course of a chromatographic separation. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002742
gradient segment aggregate document,,chromatography,result,A gradient segment aggregate document is a document that aggregates gradient segment documents. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002740
gradient segment document,,chromatography,result,A gradient segment document is a document that encompasses the information associated with a step in some gradient profile. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002741
grain specification,,aft,result,A grain specification is a part specification about the granular parts of a whole. [Allotrope],,,,part specification,http://purl.allotrope.org/ontologies/result#AFR_0001640
granulometry,particle size measurement; particle sizing; particle size analysis,aft,process,The measurement of the size distribution in a collection of grains. [CHMO],,,,measuring,http://purl.allotrope.org/ontologies/process#AFP_0000057
graph,two-dimensional graph,aft,"",A diagram that presents one or more tuples of information by mapping those tuples in to a two dimensional space in a non arbitrary way. [IAO],,,,diagram,http://purl.obolibrary.org/obo/IAO_0000038
gravimetry,gravimetric mass measurement,aft,process,Gravimetry is the measurement of the strength of a gravitational field. [Wikipedia],,https://en.wikipedia.org/wiki/Gravimetry,,measuring,http://purl.allotrope.org/ontologies/process#AFP_0000862
grip distance setting,,afo,result,A grip distance setting is a control setting that specifies the distance between the grips of a device at the start of a measurement run. [Allotrope],,,,gripping device setting; distance setting,http://purl.allotrope.org/ontologies/result#AFR_0002571
grip pressure setting,,afo,result,A grip pressure setting is a pressure setting that specifies the pressure applied to a material by the closure of a pair of grips. [Allotrope],,,,pressure setting; gripping device setting,http://purl.allotrope.org/ontologies/result#AFR_0002724
grip velocity setting,,afo,result,A grip velocity setting is a control setting specifying the velocity at which the device grips move during the run. [Allotrope],,,,velocity setting; gripping device setting,http://purl.allotrope.org/ontologies/result#AFR_0002569
gripping,,aft,process,Gripping is a guiding process by applying friction or pressure to prevent movement. [Allotrope],,,,guiding,http://purl.allotrope.org/ontologies/process#AFP_0003832
gripping device,,aft,equipment,A gripping device is a device that takes holds of something firmly or tightly. [Allotrope],,,,guiding device,http://purl.allotrope.org/ontologies/equipment#AFE_0002271
gripping device setting,,afo,result,A gripping device setting is a setting that specifies the configuration of a gripping device. [Allotrope],,,,system setting,http://purl.allotrope.org/ontologies/result#AFR_0002747
gross weight,,weighing,result,A gross weight is a facet that quantifies the total mass of the objects on the platform of the weighing instrument i.e. the sample plus any container or packaging. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002065
group,,organization,material,A group is a an aggregate of people. [Allotrope],,,,,http://purl.allotrope.org/ontologies/material#AFM_0001084
group,,hdf,hdf5/1.8,"A grouping structure containing instances of zero or more groups or datasets, together with supporting metadata. [Allotrope]",,,,named object,http://purl.allotrope.org/ontologies/hdf5/1.8#Group
group identifier,collection identifier,afo,result,A group identifier is an identifier that identifies some collection or group. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002918
guard column,,chromatography,equipment,A short protective chromatography column used to protect the main analytical column from damaging impurities that are injected into the instrument. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0000430
guiding,directing the course,aft,process,"Guiding is directing the course of a flow (material, energy, signal) along a specific path. [Allotrope, NIST]",,,,localizing,http://purl.allotrope.org/ontologies/process#AFP_0003351
guiding device,,aft,equipment,A guiding device is a device that has the function to direct a flow in a specific direction. [Allotrope],,,,device,http://purl.allotrope.org/ontologies/equipment#AFE_0002189
half height multiplier plate count setting (USP),,chromatography,result,A half height multiplier plate count setting (USP) is a data processing setting that indicates at which peak height the USP plate count should be calculated. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002825
half height multiplier resolution setting (USP),,chromatography,result,A half height multiplier resolution setting (USP) is a data processing setting that indicates at which peak height the USP resolution should be calculated. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002826
half height multiplier signal to noise setting (EP),,chromatography,result,A half height multiplier signal to noise setting (EP) is a data processing setting that indicates the half height multiplier that is to be used in determining the baseline region for calculating noise in EP S/N calculations. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002830
half height multiplier signal to noise setting (JP),,chromatography,result,A half height multiplier signal to noise setting (JP) is a data processing setting that indicates the half height multiplier that is to be used in determining the baseline region for calculating noise in JP S/N calculations. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002831
half height multiplier signal to noise setting (USP),,chromatography,result,A half height multiplier signal to noise setting (USP) is a data processing setting that indicates the half height multiplier that is to be used in determining the baseline region for calculating noise in USP S/N calculations. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002829
hard link,,hdf,hdf5/1.8,A direct association between a name and the object where both exist in a single HDF5 address space. [Allotrope],,,,link,http://purl.allotrope.org/ontologies/hdf5/1.8#HardLink
hardness,,aft,result,A hardness is a quality quantification facet that quantifies some hardness. [Allotrope],,,,quality quantification facet,http://purl.allotrope.org/ontologies/result#AFR_0002427
hardness (quality),,aft,"","A physical quality inhering in a bearer by virtue of the bearer's resistance to pressure, being broken, or pierced.",,,,mechanical quality,http://purl.obolibrary.org/obo/PATO_0000048
hardness test,tablet hardness testing,aft,process,"Tablet hardness testing is a laboratory technique used by the pharmaceutical industry to test the breaking point and structural integrity of a tablet under conditions of storage, transportation, and handling before usage. [Wikipedia]",,,,material test,http://purl.allotrope.org/ontologies/process#AFP_0002668
head,,organization,role,Role that a organizational entity plays leader or formal head of the organization. [W3C ORG],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000402
headspace chromatography,,chromatography,process,Headspace chromatography is a type of chromatography that uses the gaseous headspace above a sample for analysis because very light volatiles can be efficiently partitioned as they diffuse to the gas volume above. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0002484
heat capacity,heat capacity (datum),aft,result,Heat capacity is a quantification facet that quantifies the amount of heat to be supplied to a given mass of a material to produce a unit change in its temperature. [Wikipedia],,https://en.wikipedia.org/wiki/Heat_capacity,,quality quantification facet,http://purl.allotrope.org/ontologies/result#AFR_0002022
heat capacity (dsc),heat capacity,differential-scanning-calorimetry,result,A heat capacity (dsc) is a quantity facet that quantifies the difference in heat capacity of a material before and after its glass transition. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001989
heat capacity (quality),thermal capacity; heat capacity,aft,quality,Heat capacity is a thermal quality that inheres in a bearer by virtue of its resistance or ability to change its temperature based on a change to the heat added or removed from said object (ratio of head added or removed from an object to the resulting temperature change). [Wikipedia],,https://en.wikipedia.org/wiki/Heat_capacity,,thermal quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000058
heat flow,,aft,result,Heat flow is a quantification of the heat transferred per time. [Allotrope],,,,power,http://purl.allotrope.org/ontologies/result#AFR_0002176
heat flow process profile,,afo,process,A heat flow process profile is a rate process profile that is the change in heat flow through a material entity. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003795
heat flow profile,,afo,result,A heat flow profile is a profile that quantifies the heat flow through a material entity over time. [Allotrope],,https://en.wikipedia.org/wiki/Rate_of_heat_flow,,profile,http://purl.allotrope.org/ontologies/result#AFR_0002312
heat flow profile aggregate document,,afo,result,A heat flow profile aggregate document is a document that aggregates heat flow profiles. [Allotrope],,,,profile aggregate document,http://purl.allotrope.org/ontologies/result#AFR_0002559
heat rate,,aft,quality,Quality of a bearer which describes the bearer's efficiency in terms of useful output energy. [Allotrope],,,,thermal quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000042
heat seal,,hot-tack,equipment,A heat seal is a coupling device that is the output of a heat sealing process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002270
heat seal length,,hot-tack,result,A heat seal length is a quality quantification facet that quantifies the length of some heat seal between two materials. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002727
heat sealing,,hot-tack,process,Heat sealing is the process of sealing one thermoplastic to another thermoplastic using heat and pressure. [Wikipedia],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003831
heat transfer coefficient,heat transfer coefficient result; heat transfer coefficient (datum),aft,result,A heat transfer coefficient is a quality quantification facet that quantifies the proportionality constant between the heat flux and the thermodynamic driving force for the flow of heat. [Wikipedia],,https://en.wikipedia.org/wiki/Heat_transfer_coefficient,,quality quantification facet,http://purl.allotrope.org/ontologies/result#AFR_0002072
heat transfer coefficient process profile,heat transfer coefficient profile,afo,process,A heat transfer coefficient process profile is a rate process profile of the ratio of the heat flux and the thermodynamic driving force for the flow of heat. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003751
heat transfer coefficient profile,heat transfer coefficient profile result,afo,result,A heat transfer coefficient profile is a profile that quantifies over time the proportionality constant between the heat flux and the thermodynamic driving force for the flow of heat. [Wikipedia],,https://en.wikipedia.org/wiki/Heat_transfer_coefficient,,profile,http://purl.allotrope.org/ontologies/result#AFR_0002073
heater bar,,aft,equipment,A heater bar is a heating device that is long and thin. [Allotrope],,,,heating device,http://purl.allotrope.org/ontologies/equipment#AFE_0002269
heating device,heater; heating equipment,aft,equipment,A device used for heating something. [Allotrope],,,,device,http://purl.allotrope.org/ontologies/equipment#AFE_0001128
heating or cooling rate process profile,cooling rate process profile; heating (cooling) rate profile; cooling rate profile; heating rate process profile; heating (cooling) rate process profile; heating or cooling rate profile; heating rate profile,afo,process,A heating or cooling rate process profile is a rate process profile of the heating/cooling rate of an object. [Allotrope],The temperature process profile tracks the temperature change. This tracks the change of the change in temperature (2nd derivative).,,,,http://purl.allotrope.org/ontologies/process#AFP_0003755
heating or cooling rate profile,cooling rate profile result; heating (cooling) rate profile; cooling rate profile; heating rate profile result; heating (cooling) rate profile result; heating rate profile; heating or cooling rate profile result,afo,result,A heating or cooling rate profile is a profile that quantifies the heating/cooling rate of an object over time. [Allotrope],,,,profile,http://purl.allotrope.org/ontologies/result#AFR_0002081
height,,aft,result,Height is a quality quantification facet that quantifies the bearer's vertical dimension of extension. [Allotrope],,,,length,http://purl.allotrope.org/ontologies/result#AFR_0002692
height (quality),height,aft,"",A 1-D extent quality inhering in a bearer by virtue of the bearer's vertical dimension of extension. [PATO],,,,1-D extent,http://purl.obolibrary.org/obo/PATO_0000119
height (quality),height,aft,quality,A 1-D extent quality inhering in a bearer by virtue of the bearer's vertical dimension of extension. [PATO],,,,length (quality),http://purl.allotrope.org/ontologies/quality#AFQ_0000347
height equivalent to a theoretical plate,HETP,chromatography,result,A height equivalent to a theoretical plate is a chromatography peak facet quantifying the ratio of the absorption bed length divided by the number of theoretical plates in the absorption bed. [Wikipedia],,,,chromatography peak facet,http://purl.allotrope.org/ontologies/result#AFR_0002513
height threshold for peak integration setting (chromatography),height threshold for peak integration setting; set minimum height; height reject,chromatography,result,Height threshold for peak integration setting is a data processing setting that sets a minimum or maximum height for a peak to be included in the integrated peak list. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001692
held state,is held; held,aft,process,A held state is a state during which a device or service waits for a longer time e.g. for maintenance. [Allotrope],,,,process state,http://purl.allotrope.org/ontologies/process#AFP_0003672
helium (atom),,molecular-scale,"",An atom of the chemical element Helium. [Allotrope],,,,atom,http://purl.obolibrary.org/obo/CHEBI_33681
helium gas,helium,afo,material,Helium gas is a gas that is composed of helium atoms. [Allotrope],,,,gas,http://purl.allotrope.org/ontologies/material#AFM_0001115
heterogeneous mixture,,portion-of-material,material,"A heterogeneous mixture is a portion of mixed material that is not uniform in composition, but proportions of its components vary throughout the sample. [Wikipedia]",,,sea water with sand,portion of mixed material,http://purl.allotrope.org/ontologies/material#AFM_0001034
heterozygous control sample role,,aft,role,A heterozygous control sample role is a sample role of a material that is known to be heterozygous for an allele. [Allotrope],,,,control sample role,http://purl.allotrope.org/ontologies/role#AFRL_0000579
hidden flag,,afo,result,A hidden flag is a flag indicating that some data is not to be displayed. [Allotrope],,,,flag (setting),http://purl.allotrope.org/ontologies/result#AFR_0003125
high performance liquid chromatography system process,HPLC system process,lc,process,A high performance liquid chromatography system process is a process that is executed on a high performance liquid chromatography system. [Allotrope],The process is the technical implementation process on the HPLC system that implements the separation by HPLC. [Allotrope],,,,http://purl.allotrope.org/ontologies/process#AFP_0003725
high-performance liquid chromatograph,HPLC system; high-performance liquid chromatography system,lc,equipment,"A high-performance liquid chromatograph is an instrument used for HPLC that is a technique in analytical chemistry used to separate the components in a mixture, to identify each component, and to quantify each component. It has pumps to pass a pressurized liquid solvent containing the sample mixture through a column filled with a solid adsorbent material. Each component in the sample interacts slightly differently with the adsorbent material, causing different flow rates for the different components and leading to the separation of the components as they flow out the column. [Wikipedia]",,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0000224
high-performance liquid chromatography,HPLC; high performance liquid chromatography; high-pressure liquid chromatography; high pressure liquid chromatography,lc,process,"Column chromatography where the mobile phase is a liquid, the stationary phase consists of very small particles and the inlet pressure is relatively high. [CHMO]",,,,,http://purl.allotrope.org/ontologies/process#AFP_0000748
high-performance liquid chromatography column,HPLC column,lc,equipment,A chromatography column that contains very small particles and is capable of taking a high inlet pressure. [CHMO],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0000231
high-performance liquid chromatography system method,,lc,result,A high-performance liquid chromatography system method is a device method that specifies how an HPLC system should be operated. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001528
higher-order tensor datum,higher-order tensor; higher-order tensor value,aft,result,A tensor with order greater than 2. [Allotrope],,,,tensor datum,http://purl.allotrope.org/ontologies/result#AFR_0000959
history,,bfo-2-0,"","A history is a process that is the sum of the totality of processes taking place in the spatiotemporal region occupied by a material entity or site, including processes on the surface of the entity or within the cavities to which it serves as host. [BFO]",,,,process,http://purl.obolibrary.org/obo/BFO_0000182
hit quality index,HQI,fingerprinting,result,The hit quality index is a measure how well the spectrum measured compares against a reference spectra of a search database. [Allotrope],,,,fingerprinting result facet,http://purl.allotrope.org/ontologies/result#AFR_0001608
hit quality index margin,HQI margin,fingerprinting,result,The hit quality index margin is a permitted hit quality index margin in either way (+/-) to account for noise and error. [Allotrope],,,,fingerprinting parameter,http://purl.allotrope.org/ontologies/result#AFR_0001611
hit quality index threshold,HQI threshold,fingerprinting,result,The hit quality index threshold is a specification of a minimal hit quality index value for accepting positive match of the matched spectrum against the library spectrum. [Allotrope],,,,fingerprinting parameter,http://purl.allotrope.org/ontologies/result#AFR_0001612
hold command,hold,aft,result,A hold command is a process command that orders the procedural element to execute the holding logic. [Allotrope],,,,process command,http://purl.allotrope.org/ontologies/result#AFR_0001630
hold-up volume,,chromatography,result,A hold-up volume is a quality quantification facet that quantifies the hold-up volume of a chromatographic column. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002759
hold-up volume (quality),dead volume; hold-up volume,chromatography,quality,"The hold-up volume is the volume of the mobile phase required to elute a component the concentration of which in the stationary phase is negligible compared to that in the mobile phase. In other words, this component is not retained at all by the stationary phase. Thus, the hold-up volume is equal to the retention volume of an unretained compound. [IUPAC]",,"PAC, 1993, 65, 819 (Nomenclature for chromatography (IUPAC Recommendations 1993))",,,http://purl.allotrope.org/ontologies/quality#AFQ_0000170
